id	title	dom	obj	shape	etype	dec	dep	tool	src	q	a	given	assume
IV-A-001	単発検査：O1=+→Hの事後q	dom/prob	obj/post	shape/latent_obs	single	sum_partition	indep	update_q	感染症(2018-06)Q1	"q:=P(H=h+ | E), E={O1=+}"	"q=(t p)/(t p + f p̄)"	"p:=P(H=h+), p̄:=1-p, t:=P(O1=+|H=h+), f:=P(O1=+|H=h-)"	"indep"
IV-A-002	2回検査：O1=+,O2=+→Hの事後q	dom/prob	obj/post	shape/latent_obs	intersection	both	indep	update_q	感染症(2018-06)Q2	"q:=P(H=h+ | E2), E2={O2=+}∩{O1=+}"	"q=(p t1 t2)/(p t1 t2 + p̄ f1 f2)"	"t1:=P(O1=+|H=h+), f1:=P(O1=+|H=h-), t2:=P(O2=+|O1=+,H=h+), f2:=P(O2=+|O1=+,H=h-)"	"（2回目はO1=+で条件付け）"
IV-A-003	一般更新：q(θ|E)=L(E|θ)q0(θ)/Σ	dom/prob	obj/post	shape/latent_obs	intersection	sum_partition	none	update_q	ベイズ骨格（本の核）	"q(θ*):=P(θ*|E)"	"q(θ)=L(E|θ)q0(θ)/Σ_{θ'}L(E|θ')q0(θ')"	"θ∈Θ, E⊂Ω, q0(θ)=P(θ), L(E|θ)=P(E|θ)"	"none"
IV-A-004	二値ラベルの恒等式：1/(1+m)型	dom/prob	obj/post	shape/latent_obs	intersection	sum_partition	none	none	ベイズ骨格（あなたの発見）	"q:=P(H=h+|E)"	"q=1/(1+m), m:=P(E∩{H=h-})/P(E∩{H=h+})"	"H∈{h+,h-}, E⊂Ω"	"none"
IV-A-005	「分母=全体」の排反和（係数漏れ防止）	dom/prob	obj/prob	shape/latent_obs	intersection	sum_partition	none	none	ベイズ骨格（事故防止）	"P(E)"	"P(E)=P(E∩{H=h+})+P(E∩{H=h-})"	"H∈{h+,h-}, E⊂Ω"	"none"
IV-B-001	標準化：閾値超え確率	dom/stat	obj/prob	shape/standardize	threshold	none	none	zscore	偏差値計算(2026-01-02)	"P(x≥c)"	"1-Φ((c-μ)/σ)"	"Z:=(x-μ)/σ, μ,σ,c"	"normal"
IV-B-002	標準化：1-Φ(-a)とΦ(a)の同値	dom/stat	obj/compare	shape/standardize	none	none	none	zscore	偏差値計算(2026-01-02)	"1-Φ(-u)=?"	"1-Φ(-u)=Φ(u)"	"Φは標準正規の分布関数"	"normal"
IV-B-003	混同行列：適合率/再現率	dom/stat	obj/compare	shape/standardize	none	none	none	none	適合率/再現率(2026-01-12付近)	"precision, recall"	"precision=TP/(TP+FP), recall=TP/(TP+FN)"	"TP,FP,FN,TN"	"none"
IV-B-004	混同行列：表の読み（TP+FN 等）	dom/stat	obj/compare	shape/standardize	none	none	none	none	適合率/再現率(表の見方)	"TP+FN の意味"	"TP+FN=実際陽性の総数"	"混同行列の定義"	"none"
IV-C-001	非復元抽出：標本平均の分散	dom/stat	obj/var	shape/sampling	none	sum_partition	dep	cov_expand	非復元抽出(2025-12-21)	"Var(ȳ)"	"σ^2/n * (N-n)/(N-1)"	"N,n, σ^2（母分散）"	"dep(非復元)"
IV-C-002	非復元抽出：ΣΣCov の非対角の項数	dom/stat	obj/cov	shape/sampling	none	sum_partition	dep	cov_expand	非復元抽出(2025-12-21)	"非対角(i≠j)の項数"	"2*C(n,2)=n(n-1)"	"対称性で(i,j)と(j,i)が同じ、対角はn個"	"dep"
IV-C-003	超幾何：非復元のP(K=k)	dom/stat	obj/prob	shape/sampling	count_k	sum_partition	dep	none	非復元抽出（別チャット言及）	"P(K=k)"	"C(M,k)C(N-M,n-k)/C(N,n)"	"N母集団, M成功数, n抽出数"	"dep(非復元)"
IV-C-004	非復元：Covが負になる理由（直感補助）	dom/stat	obj/compare	shape/sampling	none	none	dep	none	非復元抽出（補助）	"Cov<0 の説明"	"同じ個体を2回引けない→片方が成功だと他方成功が減る"	"i≠j"	"dep"
IV-C-006	非復元：Var(Σ)分解	dom/stat	obj/var	shape/sampling	none	sum_partition	dep	cov_expand	201806_02無作為非復元抽出	"Var(ΣX_i)"	"ΣVar(X_i)+2Σ_{i<j}Cov(X_i,X_j)"	"Var線形性+交差項"	"dep"
IV-D-001	逐次Eの憲法：E_{1:i}=E_i∩…∩E_1	dom/ts	obj/compare	shape/sequence	sequence	prod_step	none	none	逐次の骨格（今回の核心）	"E_{1:i} の定義"	"E_{1:i}:=E_i∩…∩E_1（左=新、右=旧）"	"E_i は i回目の観測条件"	"none"
IV-D-002	逐次：更新式 q_i = g(q_{i-1}, L_i)	dom/ts	obj/post	shape/sequence	sequence	prod_step	markov	update_q	逐次更新（あなたの要望）	"q_i:=P(H|E_{1:i})"	"q_i ∝ L_i(H) q_{i-1}（正規化で÷Σ）"	"L_i(H)=P(E_i|E_{1:i-1},H)"	"markov/sequence"
IV-D-003	AR(1)：自己相関 ρ(k)=φ^k	dom/ts	obj/compare	shape/sequence	sequence	prod_step	markov	none	AR(1)比較(2026-01-07)	"ρ(k)"	"ρ(k)=φ^k（|φ|<1で定常）"	"x_t=φ x_{t-1}+ε_t"	"markov"
IV-D-004	酔歩：Varがtで増える	dom/ts	obj/compare	shape/sequence	sequence	prod_step	markov	none	AR(1)比較(2026-01-07)	"Var(x_t)"	"Var(x_t)=t Var(ε)（典型）"	"x_t=x_{t-1}+ε_t"	"markov"
IV-E-001	BernoulliのMLE：p̂=x/n	dom/stat	obj/est	shape/estimation	none	prod_step	indep	likelihood	プール推定/MLE(2025-12-30)	"pのMLE"	"p̂=x/n"	"x=成功回数, n=試行回数, L(p)=p^x(1-p)^{n-x}"	"indep"
IV-E-002	MLE：argmaxとmaxの区別（答案用）	dom/stat	obj/compare	shape/estimation	none	none	none	likelihood	プール推定/MLE(2025-12-30)	"argmaxの意味"	"p̂=argmax_p L(p),  max_p L(p)=L(p̂)"	"L(p)は尤度"	"none"
IV-E-003	MLE：log尤度で最大化する理由	dom/stat	obj/compare	shape/estimation	none	none	none	likelihood	プール推定/MLE(2025-12-30)	"logを取る理由"	"logは単調増加→argmax不変"	"ℓ(p)=logL(p)"	"none"
IV-E-004	推定量：プラグイン推定量の定義	dom/stat	obj/compare	shape/estimation	none	none	none	none	推定量の違い(2025-12-11)	"plug-inとは"	"推定したい量T(θ)に対し T(θ̂) を使う"	"θ̂は推定量"	"none"
IV-E-005	不偏分散：n-1 の意味（期待値計算）	dom/stat	obj/compare	shape/estimation	none	none	indep	none	推定量の違い(2025-12-11)	"E[s^2]"	"E[s^2]=σ^2（s^2=1/(n-1)Σ(x_i-ȳ)^2）"	"iid, Var<∞"	"indep"
IV-E-006	一致性：大数でȳ→μ	dom/stat	obj/compare	shape/estimation	none	none	indep	none	推定量の違い(2025-12-11)	"一致性"	"ȳ→μ（確率収束）"	"iid, Var<∞"	"indep"
IV-E-007	漸近正規：スコア/情報量/Taylor	dom/stat	obj/est	shape/estimation	none	none	indep	likelihood	推定量の違い(2025-12-11)	"MLEの漸近"	"√n(θ̂-θ0)→N(0, I(θ0)^{-1})"	"スコアU(θ)=∂ℓ/∂θ, 情報量I(θ)=-E[∂²ℓ/∂θ²]"	"indep"
IV-F-001	χ²独立性：期待度数E_ij	dom/stat	obj/test	shape/hypothesis	none	sum_partition	none	chi_square	χ²(2018-06 6×7)	"E_ijの式"	"E_ij=(行i合計)(列j合計)/n"	"O_ij観測度数, n総数"	"none"
IV-F-002	χ²独立性：検定量χ²	dom/stat	obj/test	shape/hypothesis	none	sum_partition	none	chi_square	χ²(2018-06 6×7)	"χ²"	"χ²=Σ_{i,j}(O_ij-E_ij)^2/E_ij"	"O_ij,E_ij"	"none"
IV-F-003	χ²独立性：自由度	dom/stat	obj/test	shape/hypothesis	none	none	none	chi_square	χ²(2018-06 6×7)	"df"	"df=(r-1)(c-1)"	"r行,c列"	"none"
IV-F-004	χ²独立性：p値の読み方	dom/stat	obj/test	shape/hypothesis	none	none	none	chi_square	χ²(2018-06 6×7)	"p値"	"P(χ² > val) (upper tail)"	"χ²とdfから上側確率"	"none"
IV-F-005	χ² 6×7：最終数値（あなたの記録）	dom/stat	obj/test	shape/hypothesis	none	sum_partition	none	chi_square	201806大問12ログ	"χ²,df,p"	"χ²≈116.52, df=30, p≈3.9e-12"	"6×7表"	"none"
IV-Z-001	期待値：サイコロE=3.5	dom/prob	obj/compare	shape/standardize	none	sum_partition	indep	none	期待値(2026-01-06)	"E[die]"	"E=Σ_{k=1}^6 k*(1/6)=3.5"	"等確率"	"indep"
IV-G-001	SVMとLDA：境界式の違い	dom/ml	obj/compare	shape/geometry	none	none	none	none	SVM/LDA(2025-12-31)	"境界の式"	"LDA: w∝Σ^{-1}(μ1-μ0), SVM: margin最大でSVが効く"	"μ0,μ1,Σ,w,b"	"linear"
IV-G-002	距離行列：順位判定（丸5）	dom/la	obj/compare	shape/geometry	none	none	none	distance_matrix	距離行列(2026-01-06)	"距離行列での判定"	"Sort distances, select min/max"	"距離d(A,B), d(A,C), …"	"none"
IV-G-003	SVM可視化：sign関数の意味	dom/ml	obj/compare	shape/geometry	none	none	none	none	SVM可視化(2025-12-31)	"sign(f(x))"	"sign(f(x)) ∈ {+1, -1}"	"判別関数f(x)の符号でクラス決定"	"linear"
IV-G-010	SVM決定関数	dom/ml	obj/compare	shape/geometry	none	none	none	none	SVMとLDAの違い	"g(x),ŷ"	"g(x)=Σ α_i y_i k(x_i,x)+b, ŷ=sign(g(x))"	"α_i,y_i,k,b"	"linear/kernel"
IV-G-011	LDA境界	dom/ml	obj/compare	shape/geometry	none	none	none	none	SVMとLDAの違い	"w"	"w∝Σ^{-1}(μ1-μ0)"	"μ0,μ1,Σ"	"gaussian"